ResponseId,Q6.1,Q6.2,Q6.3,Q6.4,Q6.8,Q6.9,Q6.10,Q6.11,Q6.12,Q6.18,Q6.19,Q6.20,Q6.21,Q6.22,Q6.28,Q6.29,Q6.30,Q6.31,Q6.32,Q6.38,Q6.39,Q6.40
10272,5,6,5,5,4,4,4,3,3,3,4,3,3,3,4,5,5,5,4,4,3,4
10592,7,7,7,7,6,6,7,5,6,1,1,1,1,1,3,1,6,6,6,7,6,6
10080,6,6,6,7,7,6,6,6,6,5,2,2,2,2,6,6,5,6,5,5,6,6
10749,6,7,6,6,5,4,5,4,4,2,2,1,1,1,7,6,7,7,6,7,6,7
10189,6,7,5,5,6,6,5,2,6,3,2,2,1,3,7,6,6,7,5,7,5,7
10133,6,7,7,7,6,7,7,5,6,4,2,2,2,2,5,6,7,7,7,4,6,7
10821,6,6,6,5,6,6,6,3,4,2,2,2,4,2,6,6,6,6,6,4,3,5
10810,5,7,5,5,5,5,5,4,6,4,1,2,2,2,6,6,7,6,5,7,6,6
10263,5,6,6,5,6,6,6,4,6,2,2,3,1,2,6,7,7,7,7,6,6,6
10665,2,4,6,5,2,6,6,2,6,7,7,7,7,7,1,1,6,6,6,7,7,6
10344,7,7,6,5,6,6,6,2,6,3,1,2,2,2,7,7,6,6,6,7,5,7
10281,6,7,5,5,6,6,6,5,5,3,1,2,2,4,6,5,7,7,7,7,7,7
10102,1,1,7,4,1,1,1,1,1,6,1,6,4,1,6,4,2,6,5,4,6,5
10292,6,7,7,6,6,6,7,5,6,1,1,1,1,2,7,7,7,7,7,7,7,7
10263,6,7,7,6,5,7,5,5,6,1,1,2,2,2,7,7,6,6,6,6,6,5
10097,6,6,7,6,7,5,6,3,5,2,1,2,2,2,6,6,7,6,6,6,5,7
10026,7,7,7,7,7,7,7,6,7,2,1,2,1,1,7,7,7,7,7,5,7,7
10199,6,6,6,6,6,4,6,4,4,3,2,3,1,2,5,6,7,5,6,3,7,7
10841,7,6,7,5,5,5,5,4,6,1,1,1,1,3,4,2,5,6,5,6,5,7
10118,6,7,6,6,6,6,7,4,6,5,,,6,4,5,5,6,6,6,6,5,6
10373,5,5,5,5,5,5,5,1,4,1,1,1,3,3,5,5,6,5,5,4,4,5
10690,7,7,7,7,5,7,7,5,7,5,6,6,3,1,6,1,7,7,7,7,7,7
10478,6,6,7,7,4,4,5,3,5,2,2,1,2,2,5,5,6,5,5,7,5,6
10035,6,6,5,5,6,,5,4,5,2,2,2,2,2,6,6,6,5,6,5,6,6
10285,7,7,7,7,6,6,6,3,5,1,1,1,1,1,6,5,7,7,6,6,6,6
10304,5,6,5,5,4,3,2,1,4,4,1,1,1,2,6,6,7,6,6,5,4,6
10690,6,7,6,6,6,7,4,3,3,5,2,5,1,3,7,5,6,7,7,5,3,7
10383,6,7,6,6,6,6,7,4,3,2,2,2,1,3,5,5,5,5,5,7,6,7
10279,6,6,7,7,7,7,7,3,6,1,1,1,1,1,7,7,7,7,7,7,7,7
10923,6,7,5,6,4,5,3,1,5,4,1,1,4,7,5,5,5,6,6,6,5,7
10913,3,7,6,7,5,3,6,1,2,7,6,6,2,2,4,4,5,5,6,7,6,7
10972,7,7,7,7,6,6,6,4,4,1,1,1,1,3,5,5,7,7,6,2,5,6
10618,6,6,7,5,5,5,6,5,6,3,5,2,1,2,5,5,7,7,5,7,7,7
10571,6,6,6,6,5,4,3,1,2,6,4,5,5,5,5,4,5,5,4,4,4,5
10871,6,7,6,6,6,6,7,4,5,3,1,3,2,1,5,5,7,6,6,6,5,7
10580,7,7,7,7,7,7,7,3,5,1,1,1,1,1,7,6,7,7,7,7,7,7
10781,6,6,6,6,4,5,5,4,5,4,2,2,3,2,5,5,6,6,6,6,6,6
10975,5,6,2,5,1,2,2,2,2,6,7,6,7,3,1,1,5,1,2,7,5,3
10914,6,6,6,5,6,6,6,4,4,4,3,3,4,2,4,6,6,6,5,5,6,6
10858,7,7,7,7,7,7,7,4,5,1,1,1,1,1,5,6,7,7,7,7,6,7
10376,7,7,6,5,6,7,7,5,7,4,4,4,4,4,5,4,6,6,6,7,6,7
10869,5,6,5,5,6,6,6,,6,5,4,3,1,5,5,5,6,6,6,6,5,5
10189,5,6,6,6,5,4,6,4,4,6,3,6,3,3,2,5,6,6,7,7,7,7
10669,6,7,5,5,5,5,3,5,5,2,2,2,2,3,5,6,7,6,6,6,7,5
10685,7,7,7,7,7,7,7,7,7,2,2,1,1,1,7,7,7,7,7,7,7,7
10956,7,7,7,7,7,7,7,2,5,1,1,1,1,1,7,5,7,7,7,5,5,7
10022,5,5,6,5,5,5,4,4,4,4,5,4,2,2,4,4,5,5,4,3,4,6
10148,7,7,7,7,6,6,,6,6,1,1,1,1,1,7,5,7,6,7,6,6,7
10156,6,7,6,7,6,7,6,7,7,1,1,1,1,1,7,7,7,7,7,7,6,7
10217,6,7,6,7,6,6,5,4,5,1,1,1,1,1,5,5,7,6,6,6,5,6
10468,6,6,7,7,6,6,7,6,5,1,1,1,1,5,5,4,7,7,6,5,6,7
10892,4,6,4,4,2,3,4,1,4,7,6,7,6,7,4,3,6,5,6,6,2,4
10064,7,7,7,7,5,5,5,2,4,1,1,1,1,1,4,3,4,5,4,6,6,6
10117,7,7,7,7,7,7,7,4,7,1,1,1,1,1,6,7,7,7,7,7,7,7
10927,6,6,5,5,6,5,5,3,4,5,4,4,3,2,5,5,6,6,5,6,4,6
10720,4,6,6,6,6,6,6,5,6,4,2,3,5,4,6,6,6,7,7,7,6,7
10436,6,6,6,6,6,6,6,4,5,4,4,4,4,4,4,4,6,6,6,6,6,6
10608,3,5,4,4,5,5,4,3,3,4,3,3,4,5,5,5,6,6,5,4,4,5
10298,7,7,7,6,6,6,6,4,5,2,2,2,2,2,5,6,7,7,6,6,6,6
10364,6,7,7,6,6,6,5,4,4,1,1,1,1,1,6,6,7,7,7,6,6,7
10689,6,6,6,6,6,7,6,2,5,2,2,2,2,3,5,4,6,5,5,5,6,7
10533,6,6,5,7,6,6,5,5,5,6,3,4,5,4,5,6,7,5,5,5,6,6
10308,6,7,6,6,6,2,6,2,4,2,1,2,2,2,6,6,7,6,6,6,4,7
10361,6,7,5,5,5,6,5,3,5,3,3,3,2,3,6,6,6,5,6,3,5,6
10574,7,7,7,6,6,7,6,2,6,3,1,3,2,2,7,5,7,7,6,6,7,7
10609,6,7,7,7,6,6,6,5,6,1,1,1,1,1,5,7,7,7,7,6,6,7
10898,6,7,7,6,6,5,5,2,6,1,1,1,1,1,7,6,7,7,6,7,6,7
10346,6,6,4,5,5,4,4,2,4,7,5,7,6,7,6,5,7,6,6,6,6,7
10237,6,7,6,5,5,5,6,6,6,5,7,,4,2,4,3,6,7,5,6,6,7
10076,5,6,5,5,3,3,3,1,4,6,6,6,4,3,5,4,7,6,5,6,4,6
10644,6,6,6,6,6,5,6,4,5,5,5,3,5,2,7,6,6,7,7,5,5,6
10838,6,6,7,6,7,6,6,4,4,2,1,1,1,1,5,4,7,7,7,6,6,7
10232,4,5,6,5,5,6,6,3,4,2,1,1,2,1,6,6,7,6,6,3,4,5
10263,6,7,7,7,6,7,7,4,7,1,1,1,1,2,7,6,7,7,7,5,5,7
10227,3,3,3,3,5,5,5,3,5,6,6,6,6,5,5,5,5,5,5,6,5,6
10540,5,5,4,3,4,5,6,5,4,7,6,6,7,7,5,3,5,5,6,5,4,5
10353,7,7,7,7,7,7,7,6,6,1,1,1,1,1,7,7,7,7,7,7,7,7
10396,7,7,7,6,6,5,7,5,6,3,1,2,2,1,4,3,5,4,5,7,7,5
10335,7,7,6,6,5,4,7,3,4,4,2,4,2,3,6,4,6,7,7,7,5,7
10677,7,7,6,6,5,5,5,3,5,1,1,1,1,2,5,6,6,6,5,7,5,6
10271,6,7,6,6,6,7,6,5,3,2,2,2,1,2,4,4,6,6,7,7,4,6
10025,5,6,6,5,6,6,6,3,5,1,1,1,1,2,6,6,7,6,6,3,5,6
10043,6,7,5,5,6,7,7,5,5,1,1,1,1,1,6,5,6,7,7,6,6,7
10693,7,7,7,7,7,7,7,4,6,2,2,2,2,2,6,6,6,6,6,4,5,6
10150,2,5,5,5,2,2,2,2,2,6,1,1,1,2,2,4,5,5,5,4,2,3
10530,5,6,3,3,2,1,1,1,1,7,5,6,6,4,1,1,5,5,5,2,1,2
10473,6,6,6,6,7,7,6,3,3,5,5,5,1,2,3,5,6,6,6,7,5,7
10832,2,6,3,3,3,2,2,2,4,6,2,6,2,2,1,2,7,7,5,7,4,6
10752,5,7,7,6,6,4,5,1,2,4,3,4,1,2,3,2,6,5,4,2,4,4
10531,7,7,5,5,3,3,3,2,4,2,3,2,1,7,6,3,7,7,6,7,5,7
10439,6,7,7,7,6,6,7,7,6,1,1,1,1,1,4,5,7,5,7,7,6,7
10343,5,5,6,6,3,4,5,2,4,2,2,2,2,2,6,7,7,7,6,6,4,6
10096,6,6,7,6,7,7,7,5,6,4,2,2,2,1,6,7,7,7,7,7,5,7
10824,6,7,6,6,6,4,6,4,4,2,1,1,2,1,6,4,7,7,6,6,6,6
10555,5,6,5,5,5,6,5,5,5,6,7,7,7,7,6,6,6,6,6,7,5,6
10164,6,6,6,6,6,6,6,6,5,2,1,2,1,1,5,6,5,6,5,2,5,5
10457,7,7,7,6,6,6,6,2,4,3,2,2,2,1,6,5,6,7,7,6,6,7
10407,6,7,7,7,6,5,6,4,6,3,2,2,3,2,5,6,7,7,6,7,5,6
10981,7,7,7,7,7,7,7,4,7,4,4,4,4,4,7,6,7,7,7,4,4,7
10872,6,6,5,5,5,5,5,5,5,1,2,1,1,3,4,5,6,6,6,6,6,6
10551,6,7,6,6,6,6,6,4,6,2,1,2,2,2,6,6,7,5,6,6,6,6
10986,6,5,2,3,5,4,6,6,7,5,4,4,6,4,6,6,6,3,6,6,6,6
10738,5,6,6,6,6,6,6,4,6,2,2,2,2,2,4,4,6,6,6,7,6,7
10377,6,6,7,7,5,5,5,2,5,2,2,2,2,2,6,6,6,6,6,6,5,6
10597,6,6,6,6,6,6,6,4,6,1,1,1,1,1,6,6,6,6,1,6,6,6
10342,5,7,6,6,7,7,6,4,5,2,3,1,2,1,6,6,7,7,7,6,6,7
10569,3,2,2,2,3,3,3,4,4,5,5,4,3,4,5,3,6,5,5,6,5,5
